-BEGIN HEADER-,,,,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2024 through 06/30/2024 ,,,,,,,,,,,,,,,,,,,
Location: Latitude  28.7041   Longitude 77.1025 ,,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters,,,,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,,,,
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,,,,,,,,,
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) ,,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) ,,,,,,,,,,,,,,,,,,,
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,,,,,,
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,,,,,,
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,,,,
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,,,,,
PS                      MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,,,,,,
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,,,,,,
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS10M_MAX,WS10M_MIN
2024,1,1,1.93,1.49,1.2,0.34,342.04,32.12,45.56,3.55,0.06,0.29,21.14,5.26,4.76,57.38,99.1,3.06,1.45
2024,1,2,2.14,1.21,1.53,0.37,323.51,34.81,47.53,3.86,0.06,0.33,20.61,4.8,4.52,55.94,99.06,3.01,1.52
2024,1,3,0.93,0.39,0.75,0.16,345.52,14.82,32.34,1.35,0.02,0.11,21.04,5.7,3.97,48,99,2.95,0.68
2024,1,4,0.62,0.29,0.49,0.11,351.52,10.3,30.77,0.97,0.02,0.08,17.32,4.78,4.39,56.94,99.06,2.84,0.99
2024,1,5,0.63,0.32,0.48,0.11,356.7,10.25,30.88,0.96,0.02,0.09,18.8,5.83,5.37,65.25,99.06,2.2,0.36
2024,1,6,1.26,0.53,1,0.22,352.16,20.8,37.15,2.07,0.04,0.19,18.94,5.34,5.86,71.31,99.17,2.27,0.86
2024,1,7,1.52,0.72,1.17,0.26,334.12,23.52,32.79,2.2,0.04,0.19,18.48,5.27,5.43,67.44,99.24,2.52,0.5
2024,1,8,1.27,0.68,0.94,0.22,346.34,20.35,37.08,2.1,0.04,0.19,23.4,6.61,5,54.69,99.22,2.28,0.32
2024,1,9,1.33,0.58,1.05,0.23,371.92,22.86,43.09,2.54,0.05,0.23,21.75,8,4.94,53.31,99.23,3.59,0.14
2024,1,10,2.83,2.33,1.62,0.48,322.16,49.19,64.14,5.97,0.11,0.54,21.25,4.08,4.15,54.06,99.1,4.59,2.86
2024,1,11,3.27,3.02,1.68,0.55,308.88,54.84,61.69,6.41,0.11,0.55,20.37,3.72,3.6,47.5,99.15,3.53,2.18
2024,1,12,3.26,3.29,1.56,0.54,312.35,55.19,65.52,6.57,0.12,0.61,21.66,3.93,3.36,41.94,99.06,3.95,2.18
2024,1,13,2.25,0.95,1.78,0.38,320.68,40.49,71.98,5.39,0.12,0.61,23.96,8.59,3.36,36,98.96,3.05,1.28
2024,1,14,2.75,2.41,1.57,0.45,323.13,46.27,64.25,5.62,0.12,0.59,22.18,6,3.11,37.69,99.01,4.02,1.62
2024,1,15,3.12,2.83,1.58,0.52,317.41,52.3,61.24,6.09,0.12,0.59,21.29,3.32,3.11,40.06,98.95,3.02,1.92
2024,1,16,1.69,0.98,1.17,0.27,343.52,28.91,54.23,3.44,0.06,0.32,21.94,6.18,3.36,40.31,98.74,3.38,0.63
2024,1,17,2.63,2.03,1.56,0.43,319.98,43.37,51.82,4.71,0.08,0.4,20.31,5.86,3.36,40.62,98.75,3.65,1.44
2024,1,18,2.05,1.53,1.27,0.33,342.66,35.8,59.21,4.28,0.08,0.4,20.27,6.26,3.72,41.56,98.96,1.71,0.2
2024,1,19,1.2,0.49,0.95,0.2,361.28,20.66,46.26,2.29,0.05,0.23,22.25,7.36,3.91,45.25,99.07,2.59,0.25
2024,1,20,2.34,1.98,1.32,0.38,332.99,41.05,58.52,4.84,0.1,0.5,19.76,6.96,4.03,47.25,99.13,2.23,0.29
2024,1,21,2.69,2.16,1.55,0.43,330.73,47.41,65.83,5.77,0.12,0.57,22.12,4.25,3.66,48.56,99.09,5.04,2.34
2024,1,22,2.74,1.76,1.8,0.43,330.27,47.64,63.72,5.71,0.1,0.52,21.9,5.17,2.69,33.31,99.19,2.27,0.47
2024,1,23,2.31,1.47,1.52,0.37,361.9,40.63,67.43,5.05,0.09,0.48,23.23,5.92,3.36,37.44,99.08,3.82,0.96
2024,1,24,2.55,1.67,1.66,0.4,341.2,44.44,62.39,5.23,0.09,0.46,22.34,6.76,3.6,42.12,99.1,2.95,0.31
2024,1,25,2.44,1.3,1.73,0.38,337.89,42,59.11,4.81,0.09,0.41,22.26,4.73,3.42,42.19,99.29,2.16,0.26
2024,1,26,2.64,1.54,1.79,0.41,326.57,43.57,54.46,4.8,0.09,0.41,23.44,7.8,3.48,36.56,99.37,2.38,0.27
2024,1,27,4.04,4.65,1.54,0.62,303.6,70.27,70.85,8.17,0.12,0.62,25.8,6.76,3.3,32.88,99.21,6.03,0.87
2024,1,28,1.92,0.74,1.53,0.29,332.86,36.11,75.17,4.84,0.09,0.48,21.78,10.12,4.03,39.75,99.05,3.46,0.28
2024,1,29,3.07,2.13,1.87,0.46,342.92,52.89,60.76,5.99,0.1,0.49,25.34,6.58,4.58,46.69,99.04,3.59,0.27
2024,1,30,1.87,0.78,1.46,0.28,364.52,31.43,48.24,3.23,0.05,0.26,23.78,9.83,4.52,41.12,98.93,2.69,0.56
2024,1,31,1.6,0.61,1.27,0.24,376.76,28.91,50.15,3.14,0.05,0.27,24.49,10.62,5.55,50.44,98.83,3.8,1.1
2024,2,1,2.27,1.04,1.71,0.34,364.16,41.68,64.52,5,0.09,0.42,22.82,9.59,7.57,72.81,98.83,5.45,0.88
2024,2,2,3.49,3,1.84,0.52,317.79,60.12,69.37,7.04,0.12,0.6,23.14,7.7,5.19,60,99.2,5.24,0.6
2024,2,3,3.25,1.6,2.33,0.48,331.41,59.23,75.82,7.33,0.13,0.69,25.59,6.28,4.27,42.06,99.04,3.77,1.55
2024,2,4,1.81,0.81,1.4,0.27,368.6,35.29,74.95,4.7,0.09,0.45,19.83,12.22,9.03,84.12,98.94,3.79,0.82
2024,2,5,3.04,1.82,2.1,0.44,343.76,54.6,73.28,6.63,0.12,0.62,22.2,9.3,6.71,65.06,99.03,3.73,2.36
2024,2,6,4.56,4.94,1.74,0.66,301.85,79.55,80.95,9.53,0.19,0.92,20.8,5.5,3.6,43.69,99.25,5.5,2.73
2024,2,7,4.06,3.49,2.01,0.58,295.83,71.83,81.23,8.74,0.2,0.98,20.29,6.92,3.85,45.12,99.34,6.39,2.6
2024,2,8,4.9,5.64,2.09,0.7,274.1,85.6,92.52,10.59,0.22,1.1,22.24,4.86,3.36,43.25,99.16,8,3.77
2024,2,9,5.19,7.33,1.22,0.73,274.64,90.03,89.76,10.86,0.2,1.02,24.73,4.73,3.42,36.31,99.2,4.3,1.21
2024,2,10,4.73,5.32,1.74,0.66,296.26,81.38,83.33,9.66,0.18,0.88,24.45,9.82,3.54,33.56,99.39,2.59,0.13
2024,2,11,4.26,4.44,1.74,0.59,307.21,71.84,72.62,8.08,0.14,0.7,24.19,7.19,4.27,42.88,99.35,2.69,1.21
2024,2,12,3.06,1.48,2.2,0.42,327.79,53.16,70.84,6.2,0.12,0.59,25.36,7.98,4.33,41.44,99.21,2.59,0.22
2024,2,13,2.91,1.12,2.28,0.4,335.51,50.37,65.26,5.61,0.12,0.59,23.89,12.8,4.21,34.5,99.12,2.06,0.27
2024,2,14,3.7,2.94,1.99,0.5,327.8,61.57,64.75,6.58,0.12,0.64,25.32,9.28,4.76,44.88,99.13,3.39,2.11
2024,2,15,4.35,4.42,1.77,0.59,315.89,73.95,75.38,8.43,0.17,-999,26.48,9.04,4.82,43.12,99.21,2.87,1.62
2024,2,16,4.73,5.24,1.67,0.63,301.28,79.64,79.73,9.19,0.18,0.9,27.28,10.4,4.03,34.5,99.24,2.55,1.02
